year,state,temperature,pressure,dew_point,humidity,wind_speed,gust,wind_chill,uv_index,feels_like_temperature,visibility,solar_radiation,pollutant_value,precipitation_rate,precipitation_total
2005,Sabah,28.84,1005.77,25.13,80.61,7.39,,28.84,,34.08,8.92,,49.92,,
2005,Sarawak,28.61,1008.04,23.94,76.16,7.32,31.0,28.61,,32.47,8.9,,42.98,,
2006,Sabah,29.29,1006.49,25.16,78.68,8.34,39.0,29.29,,34.84,8.54,,54.82,,
2006,Sarawak,29.24,1008.3,24.14,74.29,8.07,,29.24,,33.66,8.29,,48.61,,
2007,Sabah,29.2,1006.06,25.3,79.81,8.51,,29.2,,34.78,8.87,,53.34,,
2007,Sarawak,29.04,1007.94,24.05,74.83,8.64,42.0,29.04,,33.26,8.81,,45.34,,
2008,Sabah,29.18,1006.07,24.37,75.49,8.0,,29.18,,33.8,8.92,,38.65,,
2008,Sarawak,29.0,1007.87,23.98,74.6,8.05,39.0,29.0,,33.15,8.91,,46.04,,
2009,Sabah,28.69,1006.38,24.15,76.93,7.85,30.0,28.69,,32.8,8.62,,39.88,,
2009,Sarawak,28.59,1008.29,23.94,76.74,7.72,35.5,28.59,,32.39,8.32,,47.09,,
2010,Sabah,28.2,1006.77,23.95,78.56,7.61,35.0,28.2,,31.81,8.95,,37.84,,
2010,Sarawak,27.7,1008.42,24.17,81.88,7.22,35.5,27.7,,31.04,8.62,,40.88,,
2011,Sabah,27.68,1006.13,24.0,80.96,7.09,,27.68,,31.15,8.94,,36.58,,
2011,Sarawak,27.46,1007.95,24.2,83.13,7.09,49.0,27.46,,30.76,8.59,,45.09,,
2012,Sabah,27.74,1006.43,23.5,78.31,7.18,,27.74,,30.88,8.96,,35.75,,
2012,Sarawak,27.68,1007.93,24.29,82.63,6.87,31.5,27.68,,31.18,8.41,,39.33,,
2012,Terengganu,27.27,1008.57,24.35,84.77,7.82,35.0,27.27,0.0,30.5,8.8,,49.3,,
2013,Sabah,26.84,1006.14,23.94,84.81,7.16,43.5,26.84,0.0,29.53,8.97,,32.38,,
2013,Sarawak,27.03,1008.28,24.29,85.8,6.7,41.12,27.03,0.0,29.85,8.67,,35.64,,
2013,Terengganu,28.19,1008.34,24.49,80.99,9.69,40.57,28.19,0.0,32.14,8.56,,49.58,,
2014,Sabah,27.01,1006.72,23.36,81.37,7.52,43.64,27.01,1.91,29.53,8.95,,29.89,,
2014,Sarawak,26.7,1008.96,24.13,86.64,6.1,37.79,26.7,1.82,29.23,8.56,,38.45,,
2014,Terengganu,28.58,1009.13,24.0,77.12,10.69,38.23,28.58,3.75,32.49,8.69,,50.41,,
2015,Sabah,27.0,1007.78,23.69,82.86,7.03,36.0,27.0,2.02,29.69,8.92,,30.37,,
2015,Sarawak,26.57,1009.76,24.29,88.08,6.22,32.8,26.57,1.95,29.05,8.59,,42.21,,
2015,Terengganu,28.24,1009.88,23.74,77.27,9.36,32.8,28.24,3.88,31.91,8.85,,48.92,,
2016,Sabah,25.12,1008.04,23.76,92.16,4.17,,25.12,0.0,25.89,8.92,,29.7,,
2016,Sarawak,25.66,1009.98,24.68,94.32,5.42,,25.66,0.0,27.38,8.74,,39.96,,
2016,Terengganu,25.0,1008.4,24.0,94.0,0.0,,25.0,0.0,25.0,9.0,,53.0,,
2017,Sabah,27.0,1006.41,24.11,84.83,5.84,,27.0,2.03,29.86,8.95,,19.4,,
2017,Sarawak,27.05,1008.51,24.6,87.27,7.1,,27.05,1.95,30.06,8.77,,25.87,,
2017,Terengganu,26.25,1007.82,23.91,87.76,5.3,43.2,26.26,2.17,28.53,8.75,,21.36,,
2018,Sabah,27.11,1006.7,24.31,85.32,5.89,39.8,27.11,1.8,30.07,8.94,,22.92,,
2018,Sarawak,27.01,1008.52,24.86,88.71,6.87,41.44,27.01,1.79,30.11,8.66,,34.47,,
2018,Terengganu,26.86,1008.43,24.4,87.02,5.49,41.64,26.86,1.8,29.76,8.72,,34.57,,
2019,Sabah,27.25,1007.31,24.0,83.31,6.74,35.14,27.25,1.84,30.09,8.85,,34.9,,
2019,Sarawak,27.3,1008.94,24.82,87.08,6.58,37.2,27.3,1.82,30.62,8.49,,51.45,,
2019,Terengganu,27.22,1009.16,24.7,86.68,6.37,35.29,27.23,1.85,30.67,8.01,,54.5,,
2020,Sabah,27.28,1007.21,24.5,85.56,5.96,36.75,27.28,2.7,30.44,8.93,,27.47,,
2020,Sarawak,27.33,1006.49,25.09,88.11,6.58,42.6,27.33,2.24,30.84,8.75,,40.71,,
2020,Terengganu,27.37,1008.59,24.77,86.36,6.15,36.97,27.37,2.59,30.94,8.6,,45.97,,
2021,Sabah,26.97,1006.98,24.44,86.64,4.99,34.0,26.97,2.85,29.95,8.93,,29.77,,
2021,Sarawak,27.18,1006.38,24.43,85.83,6.17,45.0,27.18,2.66,30.16,8.89,,43.27,,
2021,Terengganu,27.13,1008.38,24.49,86.15,4.88,38.36,27.13,2.61,30.26,8.57,,41.56,,
2022,Sabah,26.84,1006.66,24.17,85.96,4.7,35.44,26.84,2.74,29.49,8.92,,42.84,,
2022,Sarawak,26.87,1006.1,24.4,87.13,6.14,41.0,26.87,2.57,29.63,8.82,,45.6,,
2022,Terengganu,26.96,1008.01,24.37,86.41,4.34,34.91,26.96,2.48,29.8,8.73,,41.95,,
2023,Sabah,27.37,1007.48,24.49,84.95,5.12,41.86,27.37,2.72,30.67,8.91,,47.68,,
2023,Sarawak,27.17,1007.21,24.63,86.81,5.92,38.75,27.17,2.57,30.27,8.85,,53.58,,
2023,Terengganu,27.3,1009.02,24.65,86.06,4.98,35.14,27.3,2.51,30.63,8.74,,49.83,,
